split,fold,Threshold,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
val,fold_1,0.5,391341,164241,51036118,181740,0.5307599664732569,0.7043802714990639,0.6828720547357061,0.9933174036726166
val,fold_1,0.6,385977,154767,51045592,187104,0.5302989085633191,0.7137887799032312,0.673512121323152,0.9933967880055873
val,fold_1,0.7,379757,144546,51055813,193324,0.5291843813011421,0.7243082721250741,0.6626585072616146,0.9934740670119658
val,fold_1,0.75,375774,138460,51061899,197307,0.528112926732254,0.7307451471508937,0.6557083553633665,0.9935146862947487
val,fold_2,0.5,384863,331292,52557618,138067,0.45054213073415983,0.5374018194385218,0.7359742221712134,0.9912124540176859
val,fold_2,0.6,380810,310335,52578575,142120,0.4570094747769262,0.5509842363035173,0.728223662822926,0.9915289381530386
val,fold_2,0.7,376149,287556,52601354,146781,0.46410301966967393,0.5667412479942058,0.7193104239573036,0.9918681513312403
val,fold_2,0.75,373121,273864,52615046,149809,0.4682778735783594,0.5767073425195239,0.7135199739926813,0.9920678074374519
val,fold_3,0.5,248286,164080,43623152,70210,0.5145013427936633,0.6021010461580101,0.779557671053929,0.9946879915461319
val,fold_3,0.6,245515,151163,43636069,72981,0.522751613404608,0.6189276945028305,0.7708574048025478,0.994918029694465
val,fold_3,0.7,242243,137349,43649883,76253,0.5314152837038789,0.6381667685304053,0.760584120365695,0.9951570462684572
val,fold_3,0.75,240173,129376,43657856,78323,0.536253661760491,0.6499084018627935,0.7540848236712312,0.9952908837600412
val,fold_4,0.5,418243,134907,42391131,112871,0.6279726915517585,0.756111362198305,0.7874825367058524,0.9942453695033056
val,fold_4,0.6,413676,125489,42400549,117438,0.6300245353737246,0.767253067242852,0.7788836295032558,0.9943580337129588
val,fold_4,0.7,408302,115715,42410323,122812,0.6312363855052784,0.7791770114328203,0.7687652744984924,0.9944602234722815
val,fold_4,0.75,404994,110162,42415876,126120,0.6315439841815282,0.7861579793305176,0.7625368564940717,0.9945123634744814
val,fold_5,0.5,335987,201483,42837845,140589,0.4955129273411238,0.6251269838316441,0.7050019304371034,0.9921391498611632
val,fold_5,0.6,332909,192889,42846439,143667,0.4972761832209227,0.6331499929630651,0.6985433592962991,0.9922659081148812
val,fold_5,0.7,328506,180425,42858903,148070,0.5000083713723342,0.6454823934875131,0.6893045390451745,0.9924511507333041
val,fold_5,0.75,325382,171698,42867630,151194,0.501920484239681,0.6545867868351039,0.6827494460484648,0.992579908256071
