fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
2,TCGA_CS_5396,TCGA_CS_5396_20010302_1.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
2,TCGA_CS_5396,TCGA_CS_5396_20010302_10.tif,0,3272,62264,0,0.0,0.0,0.0,0.9500732421873551
2,TCGA_CS_5396,TCGA_CS_5396_20010302_11.tif,0,2730,62806,0,0.0,0.0,0.0,0.9583435058592288
2,TCGA_CS_5396,TCGA_CS_5396_20010302_12.tif,0,2435,62185,916,0.0,0.0,0.0,0.9488677978514177
2,TCGA_CS_5396,TCGA_CS_5396_20010302_13.tif,0,2139,60500,2897,0.0,0.0,0.0,0.9231567382811092
2,TCGA_CS_5396,TCGA_CS_5396_20010302_14.tif,0,2231,58228,5077,0.0,0.0,0.0,0.8884887695311144
2,TCGA_CS_5396,TCGA_CS_5396_20010302_15.tif,0,2132,57786,5618,0.0,0.0,0.0,0.8817443847654904
2,TCGA_CS_5396,TCGA_CS_5396_20010302_16.tif,0,1945,59429,4162,0.0,0.0,0.0,0.9068145751951742
2,TCGA_CS_5396,TCGA_CS_5396_20010302_17.tif,0,1879,58909,4748,0.0,0.0,0.0,0.8988800048826754
2,TCGA_CS_5396,TCGA_CS_5396_20010302_18.tif,0,2122,59634,3780,0.0,0.0,0.0,0.9099426269529862
2,TCGA_CS_5396,TCGA_CS_5396_20010302_19.tif,0,2301,60464,2771,0.0,0.0,0.0,0.9226074218748592
2,TCGA_CS_5396,TCGA_CS_5396_20010302_2.tif,0,0,65536,0,0.0,0.0,0.0,0.9999999999998475
2,TCGA_CS_5396,TCGA_CS_5396_20010302_20.tif,0,1636,62308,1592,0.0,0.0,0.0,0.950744628906105
2,TCGA_CS_5396,TCGA_CS_5396_20010302_21.tif,2,1669,63520,345,0.0009920634920585712,0.0011968880909563322,0.005763688760640815,0.9692687988279771
2,TCGA_CS_5396,TCGA_CS_5396_20010302_22.tif,24,3495,61931,86,0.006657420249634793,0.006820119352069281,0.21818181816198348,0.9453582763670433
