fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
1,TCGA_CS_5395,TCGA_CS_5395_19981004_1.tif,0,5580,59956,0,0.0,0.0,0.0,0.9148559570311104
1,TCGA_CS_5395,TCGA_CS_5395_19981004_10.tif,0,1605,63931,0,0.0,0.0,0.0,0.9755096435545387
1,TCGA_CS_5395,TCGA_CS_5395_19981004_11.tif,0,1392,64144,0,0.0,0.0,0.0,0.9787597656248507
1,TCGA_CS_5395,TCGA_CS_5395_19981004_12.tif,5,1551,63250,730,0.002187226596665848,0.0032133676092338474,0.00680272108834282,0.9651947021482903
1,TCGA_CS_5395,TCGA_CS_5395_19981004_13.tif,302,1642,63054,538,0.12167606768685868,0.155349794237884,0.3595238095195295,0.9667358398436026
1,TCGA_CS_5395,TCGA_CS_5395_19981004_14.tif,45,1661,63094,736,0.018427518427442967,0.026377491207348315,0.057618437899390286,0.9634246826170405
1,TCGA_CS_5395,TCGA_CS_5395_19981004_15.tif,0,2447,63089,0,0.0,0.0,0.0,0.9626617431639156
1,TCGA_CS_5395,TCGA_CS_5395_19981004_16.tif,0,2259,63277,0,0.0,0.0,0.0,0.9655303955076652
1,TCGA_CS_5395,TCGA_CS_5395_19981004_17.tif,0,2623,62913,0,0.0,0.0,0.0,0.9599761962889161
1,TCGA_CS_5395,TCGA_CS_5395_19981004_18.tif,0,2422,63114,0,0.0,0.0,0.0,0.9630432128904781
1,TCGA_CS_5395,TCGA_CS_5395_19981004_19.tif,0,2375,63161,0,0.0,0.0,0.0,0.9637603759764155
1,TCGA_CS_5395,TCGA_CS_5395_19981004_2.tif,0,3238,62298,0,0.0,0.0,0.0,0.95059204101548
1,TCGA_CS_5395,TCGA_CS_5395_19981004_20.tif,0,87,65449,0,0.0,0.0,0.0,0.9986724853514102
1,TCGA_CS_5395,TCGA_CS_5395_19981004_3.tif,0,2433,63103,0,0.0,0.0,0.0,0.9628753662107906
1,TCGA_CS_5395,TCGA_CS_5395_19981004_4.tif,0,3289,62247,0,0.0,0.0,0.0,0.9498138427732926
1,TCGA_CS_5395,TCGA_CS_5395_19981004_5.tif,0,2957,62579,0,0.0,0.0,0.0,0.9548797607420418
1,TCGA_CS_5395,TCGA_CS_5395_19981004_6.tif,0,2766,62770,0,0.0,0.0,0.0,0.9577941894529789
1,TCGA_CS_5395,TCGA_CS_5395_19981004_7.tif,0,2241,63295,0,0.0,0.0,0.0,0.9658050537107902
1,TCGA_CS_5395,TCGA_CS_5395_19981004_8.tif,0,1686,63850,0,0.0,0.0,0.0,0.9742736816404763
1,TCGA_CS_5395,TCGA_CS_5395_19981004_9.tif,0,1542,63994,0,0.0,0.0,0.0,0.976470947265476
1,TCGA_CS_6666,TCGA_CS_6666_20011109_1.tif,0,1928,63608,0,0.0,0.0,0.0,0.9705810546873519
1,TCGA_CS_6666,TCGA_CS_6666_20011109_10.tif,0,1408,64128,0,0.0,0.0,0.0,0.9785156249998508
1,TCGA_CS_6666,TCGA_CS_6666_20011109_11.tif,0,1581,63955,0,0.0,0.0,0.0,0.9758758544920386
1,TCGA_CS_6666,TCGA_CS_6666_20011109_12.tif,0,835,64701,0,0.0,0.0,0.0,0.987258911132662
1,TCGA_CS_6666,TCGA_CS_6666_20011109_13.tif,0,432,64799,305,0.0,0.0,0.0,0.9887542724607866
1,TCGA_CS_6666,TCGA_CS_6666_20011109_14.tif,0,317,62932,2287,0.0,0.0,0.0,0.9602661132811036
1,TCGA_CS_6666,TCGA_CS_6666_20011109_15.tif,0,283,62094,3159,0.0,0.0,0.0,0.9474792480467304
1,TCGA_CS_6666,TCGA_CS_6666_20011109_16.tif,61,406,61281,3788,0.014336075205606732,0.1306209850079096,0.015848272278472724,0.9360046386717322
1,TCGA_CS_6666,TCGA_CS_6666_20011109_17.tif,667,620,60703,3546,0.1380095178975005,0.5182595182554914,0.15831948730083475,0.9364318847654821
1,TCGA_CS_6666,TCGA_CS_6666_20011109_18.tif,1166,910,60429,3031,0.2283140787150415,0.5616570327525932,0.27781748868173023,0.9398651123045442
1,TCGA_CS_6666,TCGA_CS_6666_20011109_19.tif,1563,1420,59931,2622,0.27885816235454264,0.5239691585634463,0.3734767025080682,0.9383239746092319
1,TCGA_CS_6666,TCGA_CS_6666_20011109_2.tif,0,1854,63682,0,0.0,0.0,0.0,0.9717102050779768
1,TCGA_CS_6666,TCGA_CS_6666_20011109_20.tif,1154,832,60723,2827,0.2397672969037196,0.5810674723032172,0.2898769153471744,0.9441680908201685
1,TCGA_CS_6666,TCGA_CS_6666_20011109_21.tif,1440,7237,54974,1885,0.13633781480767246,0.16595597556740121,0.4330827067656148,0.8608093261717437
1,TCGA_CS_6666,TCGA_CS_6666_20011109_22.tif,833,8662,54647,1394,0.07649921939565019,0.08773038441275646,0.37404580152503797,0.8465576171873709
1,TCGA_CS_6666,TCGA_CS_6666_20011109_23.tif,675,9928,54106,827,0.05905511811018455,0.06366122795429249,0.44940079893176166,0.8358917236326849
1,TCGA_CS_6666,TCGA_CS_6666_20011109_24.tif,0,12403,53133,0,0.0,0.0,0.0,0.8107452392576888
1,TCGA_CS_6666,TCGA_CS_6666_20011109_25.tif,0,9858,55678,0,0.0,0.0,0.0,0.8495788574217454
1,TCGA_CS_6666,TCGA_CS_6666_20011109_26.tif,0,5663,59873,0,0.0,0.0,0.0,0.9135894775389232
1,TCGA_CS_6666,TCGA_CS_6666_20011109_3.tif,0,1675,63861,0,0.0,0.0,0.0,0.9744415283201638
1,TCGA_CS_6666,TCGA_CS_6666_20011109_4.tif,0,1769,63767,0,0.0,0.0,0.0,0.9730072021482891
1,TCGA_CS_6666,TCGA_CS_6666_20011109_5.tif,0,1650,63886,0,0.0,0.0,0.0,0.9748229980467263
1,TCGA_CS_6666,TCGA_CS_6666_20011109_6.tif,0,1205,64331,0,0.0,0.0,0.0,0.9816131591795377
1,TCGA_CS_6666,TCGA_CS_6666_20011109_7.tif,0,750,64786,0,0.0,0.0,0.0,0.9885559082029742
1,TCGA_CS_6666,TCGA_CS_6666_20011109_8.tif,0,1858,63678,0,0.0,0.0,0.0,0.9716491699217268
1,TCGA_CS_6666,TCGA_CS_6666_20011109_9.tif,0,1883,63653,0,0.0,0.0,0.0,0.9712677001951643
1,TCGA_DU_5851,TCGA_DU_5851_19950428_1.tif,0,1711,63825,0,0.0,0.0,0.0,0.973892211913914
1,TCGA_DU_5851,TCGA_DU_5851_19950428_10.tif,0,2542,62994,0,0.0,0.0,0.0,0.9612121582029783
1,TCGA_DU_5851,TCGA_DU_5851_19950428_11.tif,0,3079,62457,0,0.0,0.0,0.0,0.9530181884764172
